epoch,train_loss_xray,train_loss_echo,train_loss_mri,val_mean_auroc_xray,val_macro_auroc_echo,val_macro_auroc_mri,val_combined
1,0.143224,0.481293,1.608954,0.86051,0.824715,0.788889,0.824705
2,0.122651,0.421001,0.878769,0.853083,0.826321,0.8,0.826468
3,0.117813,0.419574,4.057634,0.855322,0.821671,0.766667,0.814553
4,0.120717,0.400247,23.859608,0.852489,0.809186,0.669444,0.77704
5,0.121856,0.462873,14.616064,0.860256,0.819372,0.638889,0.772839
6,0.112835,0.459472,6.299421,0.858734,0.823962,0.605556,0.76275
7,0.111918,0.409676,3.262051,0.856927,0.822293,0.738889,0.806037
8,0.10915,0.405069,1.191008,0.850646,0.818709,0.716667,0.795341
9,0.113437,0.391754,0.559232,0.85754,0.819259,0.772222,0.81634
10,0.109561,0.385304,0.270623,0.856191,0.822123,0.727778,0.802031
11,0.105568,0.407999,0.173464,0.856406,0.820605,0.788889,0.821967
12,0.109842,0.392683,0.316306,0.855619,0.825714,0.722222,0.801185
13,0.105793,0.386846,0.390817,0.853467,0.823349,0.861111,0.845976
14,0.105087,0.394405,0.850825,0.852824,0.820822,0.716667,0.796771
15,0.107354,0.378296,0.508638,0.832858,0.82013,0.822222,0.82507
16,0.110343,0.390762,0.063225,0.8556,0.819408,0.788889,0.821299
17,0.105607,0.378257,0.032646,0.85192,0.815568,0.827778,0.831755
18,0.104276,0.392715,0.020378,0.852369,0.819907,0.788889,0.820389
19,0.101652,0.375292,0.014282,0.852836,0.817028,0.8,0.823288
20,0.104821,0.382342,0.007284,0.854404,0.815443,0.805556,0.825134
21,0.101328,0.390872,0.008349,0.847947,0.816733,0.811111,0.825263
22,0.101987,0.378248,0.015791,0.853141,0.813803,0.805556,0.824167
23,0.098684,0.360825,0.013271,0.848732,0.819984,0.777778,0.815498
24,0.103182,0.398413,0.01975,0.849133,0.817306,0.788889,0.818443
25,0.098444,0.379665,0.045656,0.844677,0.815054,0.777778,0.812503
26,0.096901,0.368119,0.374109,0.852917,0.815555,0.794444,0.820972
27,0.096035,0.359101,1.50715,0.851979,0.817939,0.766667,0.812195
28,0.096439,0.366628,4.397842,0.849065,0.816471,0.788889,0.818142
29,0.095375,0.382375,8.555446,0.843664,0.813349,0.705556,0.787523
30,0.094676,0.370668,2.077037,0.845895,0.81416,0.822222,0.827426
