epoch,phase,lr,train_loss,val_loss,val_auroc_mean,val_auroc_Cardiomegaly,val_auroc_Effusion
1,phase1-frozen,0.0001,0.992018,0.909227,0.84259,0.844207,0.840974
2,phase1-frozen,0.0001,0.856009,0.897729,0.856215,0.862769,0.849662
3,phase1-frozen,0.0001,0.79949,0.864485,0.862929,0.872925,0.852933
4,phase1-frozen,0.0001,0.746086,0.884713,0.862062,0.871434,0.852689
5,phase1-frozen,0.0001,0.697455,0.93137,0.857587,0.864835,0.850339
6,phase2-unfrozen,1e-05,0.627379,0.956949,0.866293,0.874558,0.858028
7,phase2-unfrozen,1e-05,0.569143,0.957469,0.867316,0.875495,0.859136
8,phase2-unfrozen,1e-05,0.528753,1.02377,0.867797,0.875071,0.860523
9,phase2-unfrozen,1e-05,0.490776,1.138212,0.863948,0.868996,0.858899
10,phase2-unfrozen,1e-05,0.463947,1.358008,0.861089,0.862517,0.859662
