epoch,lr,train_loss,val_loss,val_macro_auroc,val_accuracy,val_balanced_accuracy,val_auroc_DCM,val_auroc_HCM,val_auroc_MINF,val_auroc_NOR,val_auroc_RV
1,0.0003,1.741119,1.658008,0.594444,0.2,0.2,0.527778,0.777778,0.305556,0.583333,0.777778
2,0.0003,1.661316,1.626432,0.627778,0.2,0.2,0.583333,0.916667,0.25,0.638889,0.75
3,0.0003,1.467331,1.610937,0.577778,0.2,0.2,0.555556,0.777778,0.194444,0.638889,0.722222
4,0.0003,1.403683,1.634245,0.583333,0.266667,0.266667,0.527778,0.888889,0.194444,0.666667,0.638889
5,0.0003,1.410332,1.629948,0.6,0.4,0.4,0.555556,0.861111,0.25,0.694444,0.638889
6,0.0003,1.326859,1.601693,0.633333,0.2,0.2,0.583333,0.972222,0.25,0.722222,0.638889
7,0.0003,1.228554,1.599902,0.666667,0.4,0.4,0.583333,0.972222,0.333333,0.722222,0.722222
8,0.0003,1.181094,1.593262,0.655556,0.4,0.4,0.555556,0.916667,0.361111,0.777778,0.666667
9,0.0003,1.083858,1.538395,0.7,0.333333,0.333333,0.611111,0.916667,0.416667,0.777778,0.777778
10,0.0003,0.916044,1.381331,0.733333,0.466667,0.466667,0.666667,0.916667,0.444444,0.861111,0.777778
11,0.0003,0.776502,1.430705,0.722222,0.466667,0.466667,0.666667,0.916667,0.416667,0.861111,0.75
12,0.0003,0.764915,1.632048,0.733333,0.4,0.4,0.638889,0.888889,0.527778,0.888889,0.722222
13,0.0003,0.76671,1.595101,0.738889,0.333333,0.333333,0.611111,0.972222,0.555556,0.861111,0.694444
14,0.0003,0.581663,1.638318,0.744444,0.466667,0.466667,0.611111,0.75,0.611111,0.916667,0.833333
15,0.0003,0.710742,1.496497,0.788889,0.533333,0.533333,0.638889,0.916667,0.611111,0.916667,0.861111
16,0.0003,0.633531,1.900818,0.755556,0.533333,0.533333,0.638889,0.777778,0.805556,0.916667,0.638889
17,0.0003,0.679366,1.465169,0.727778,0.466667,0.466667,0.638889,0.777778,0.638889,0.861111,0.722222
18,0.0003,0.60893,1.638432,0.805556,0.533333,0.533333,0.833333,1.0,0.694444,0.777778,0.722222
19,0.0003,0.564786,1.511039,0.8,0.533333,0.533333,0.638889,0.888889,0.805556,0.861111,0.805556
20,0.0003,0.525081,1.665053,0.788889,0.4,0.4,0.666667,1.0,0.805556,0.805556,0.666667
21,0.0003,0.501626,1.593896,0.788889,0.533333,0.533333,0.611111,0.944444,0.833333,0.777778,0.777778
22,0.0003,0.499886,1.896434,0.777778,0.533333,0.533333,0.666667,0.861111,0.833333,0.861111,0.666667
23,0.0003,0.431864,1.519938,0.805556,0.533333,0.533333,0.666667,1.0,0.888889,0.805556,0.666667
24,0.0003,0.288504,1.51993,0.8,0.533333,0.533333,0.694444,0.916667,0.805556,0.888889,0.694444
25,0.0003,0.196203,1.52818,0.822222,0.533333,0.533333,0.722222,0.944444,0.833333,0.861111,0.75
